video_id,title,views,likes,comments,shares,face_present,emotion,sentiment
o7rxKmWR-gc,"Daaku Maharaaj | Trailer | Nandamuri Balakrishna, Urvashi Rautela, Bobby Deol | Netflix India",36690,1633,80,0,1,neutral,0.04780525030525031
6YNNyr9bj_Q,Manjulika's Most TERRIFYING Entry Scene 😱 | Bhool Bhulaiyaa 3 | Netflix India,20969,490,43,0,0,Unknown,0.08697895998677249
XkCp-OXEuIo,Nithya Menen & Ravi Mohan’s MOST ROMANTIC Meet-Cute 🥺❤️ | Kadhalikka Neramillai | Netflix India,22914,339,31,0,1,happy,0.08843809523809522
dhgbmxvM1hQ,Yami Gautam's EPIC Fight With Her BEST-FRIEND! ft. Pratik Gandhi | Dhoom Dhaam | Netflix India,58416,679,44,0,1,sad,0.14954022988505747
VK6XhrF05kw,Ajith Kumar’s HIGH VOLTAGE Bank Shootout Scene! 🔥😳 | Thunivu | Hindi Clip | Netflix India,20711,400,30,0,1,sad,-0.0140625
76XKqJRsvq8,"⁠Sunil Grover’s FUNNIEST Mimicry As Khali Ft. Rohit Sharma, SKY 🤣 | #TGIKS | Netflix India",1453346,13352,244,0,1,sad,0.10380833333333332
G-2255D8Q00,Sehwag Sings 'Samne Yeh Kaun Aaya' and Smashes a Six | The Greatest Rivalry | Netflix India,80150,1389,50,0,0,Unknown,0.21856758832565285
py-DiqNTFIQ,Yami Gautam SAVES Pratik Gandhi On SUHAGRAAT?! 🤭 | Dhoom Dhaam | Netflix India,69527,493,25,0,0,Unknown,0.13798409598214287
iinYKjT1snA,"⁠SRK, Triptii Dimri, Imran Khan & More Show Us What LOVE Feels Like 💕 #LailaMajnu, #OmShantiOm",17678,602,11,0,0,neutral,0.25
EqHM9rw50d4,Vikramaditya Motwane Breaks Down the Making of CTRL | Ft. Ananya Panday | Netflix India,27742,508,37,0,1,sad,0.1339853896103896
eiHIFrHZPqQ,Yami Gautam Delivers a POWERFUL Monologue on Womanhood 🔥 | Dhoom Dhaam | Netflix India,114463,2706,200,0,1,sad,0.043570672210964764
pS7_rsLplPk,THIS OR THAT Challenge 🤯 Ft. Yami Gautam & Pratik Gandhi | Dhoom Dhaam | Netflix India,27398,378,20,0,1,surprise,0.21852941176470586
PFRwl7FP4Lg,"Kadhalikka Neramillai | Trailer | Ravi Mohan, Nithya Menon | AR Rahman | Netflix India",390253,3112,128,0,0,Unknown,0.11606187590187587
MuTa7S1jSaY,Yami Gautam & Pratik Gandhi ROAST the FUNNIEST Matrimonial Bios😂 | Dhoom Dhaam | Netflix India,23284,374,17,0,1,happy,0.03985347985347986
S-mqWFyMlDI,How India SNATCHED Victory Against Pakistan! | The Greatest Rivalry: India vs Pakistan,91958,1196,54,0,1,neutral,0.15879699248120302
aPUMc1KSl7Y,Sehwag & Shoaib Akhtar Talk About The ICONIC 2004 Tour | The Greatest Rivalry | Netflix india,126281,1715,72,0,1,happy,0.07645282186948854
_UMrJ1L71EI,"Dulquer Salmaan’s BEST Heist Sequences Of All Time! | Ft. Lucky Baskhar, Kurup | Netflix India",209196,1715,51,0,1,happy,0.06689038199454865
qkROOzdtPfM,Rohit Sharma ROASTS These Cricketers 😂🔥 ft. SKY & Shivam Dube | #TGIKS | Netflix India,200780,3081,82,0,1,happy,0.029591836734693882
hUKjQ6IpUsU,"These Desi Parents Are SAVAGE AF 🤣🔥 | Bareilly ki Barfi, Dil Dhadakne Do, Badhaai Do & More!",272527,1803,51,0,1,happy,0.0005319148936170193
9ienDzEGhcU,Squid Game in Real Life: Creating the Mingle Game | Netflix India,244029,5056,134,0,0,Unknown,-0.01688875360750361
1Bll53fBa9U,Mrs. Chatterjee vs Norway | Official Trailer | Rani Mukerji | Netflix India,1705299,19107,1603,0,0,sad,0.09124692159692158
H1YR5rsScC8,"Janiye | Music Video | Chor Nikal Ke Bhaga | Vishal Mishra, Rashmeet Kaur| Netflix India",164451223,901678,20367,0,0,sad,0.10690807291666667
q0ChFyakQ8U,Tanmay Bhat Reacts To Start-Up Ft. @VarunMayya | Netflix India,252706,4558,125,0,1,happy,0.1625181415806416
wbEWbAKo29Q,"Rana Naidu | Official Trailer | Rana Daggubati, Venkatesh Daggubati, Surveen Chawla | Netflix India",34912047,35641,620,0,0,Unknown,0.10203471513605444
6EFW-JQhC_c,The Ultimate Class Competition | Class | Netflix India,983810,14453,431,0,1,neutral,0.14917091224747475
0AyGdBtMiFQ,"Sidharth Malhotra and @ZakirKhan Discuss SRK, Spies & More | Mission Majnu",2926898,72059,1048,0,1,happy,0.260562148962149
dNoDS6UF1GU,"The Actors' Roundtable 2022 with Rajeev Masand | Teaser | Kartik Aaryan, Diljit Dosanjh & More!",431613,4483,447,0,1,angry,0.06380585768398268
XneHBxjMg_Y,Khakee: The Bihar Chapter | Official Trailer | Netflix India,61476125,111875,4161,0,1,neutral,0.1844190476190476
94lLJy5-Kww,Khakee: The Bihar Chapter | Official Teaser | Netflix India,2126533,45481,1868,0,0,Unknown,0.17084647366522365
oA8-z3p4oh0,"Mismatched | Season 1 Episode 1 | Rohit Saraf, @MostlySane | Netflix India",10204670,208521,1615,0,1,happy,0.06448749999999999
HykofdboPyg,"Plan A Plan B | Official Trailer | Riteish Deshmukh, Tamannaah Bhatia | Netflix India",22895929,114364,2150,0,1,neutral,0.16777242288961036
6DQ_lEmt0aM,"Jamtara: Season 2 | Official Trailer | Amit Sial, Monika Panwar, Sparsh Shrivastava | Netflix India",13848668,46783,951,0,0,Unknown,0.13948300471230157
If2QN6kdpo4,Wedding Season | Official Trailer | Netflix India,271668,4214,122,0,0,Unknown,0.20783493416305912
uLX_gQVsCK4,Delhi Crime: Season 2 | Official Trailer | Netflix India,40364518,62858,1371,0,1,sad,0.2029115615337044
XCr0amrMPt0,Vicky & Angira Accidentally Get Married | Love Per Square Foot | Netflix India,2019119,12840,208,0,1,sad,0.12662956677161222
RUImwYM7dGk,"Who's The Biggest Fattu? | @tanmaybhat, @aishmrj, @JokeSingh & Aakash Shah",1516750,65382,729,0,1,happy,0.06538776041666668
eyp7oGmWEw0,"Fboi or Sweetboi Ft. Kusha Kapila, Masaba Gupta, Armaan & Neil | Masaba Masaba | Netflix India",134479,2500,42,0,1,happy,0.21850694444444446
JqDyWHWS92w,When @Shehnaazgillofficial Met Masaba Gupta | Masaba Masaba: Season 2 | Netflix India,2443883,58224,4385,0,1,fear,0.21293690476190477
LYyU74Gtwj8,Haanikaarak Darlings Vs Haanikaarak Door | Darlings | Netflix India,2183641,2680,38,0,0,happy,0.09956896551724137
MwydGN-mao0,Indian Matchmaking: Season 2 | Official Trailer | Netflix India,371423,5166,361,0,1,sad,0.1366872377622378
Dmx5KDOpqeg,"Darlings | Official Trailer | Alia Bhatt, Shefali Shah, Vijay Varma, Roshan Mathew | Netflix India",47935510,183174,7218,0,1,surprise,0.08338268398268399
gH7Smyqlo74,"Team Dhairya Vs. Team Fateh | Masaba Masaba | Masaba Gupta, Neena Gupta | Netflix India",185105,1076,28,0,0,Unknown,0.006426533857089413
ydoqfYCwmxQ,Delhi Crime: Season 2 | Official Teaser | Netflix India,1452071,32396,647,0,0,Unknown,0.18161751893939393
zeBTnAIC_98,The Ultimate Law Test Ft. Tovino Thomas & Keerthy Suresh | Vaashi | Netflix India,244572,5380,85,0,1,happy,0.1924291938997821
IkF8uIC4W5k,"Magic Meenu Ki Cycle Trick | Jitendra Kumar, Arushi Sharma | Jaadugar  | Netflix India",3786182,68787,558,0,1,neutral,0.08535277777777779
XMwvgZR35wo,Becoming Vecna ft. Jamie Campbell Bower | Behind the Scenes | Stranger Things 4 | Netflix India,1574563,35390,521,0,0,Unknown,0.22549977747946504
mG4khaXzLsA,@BakLolVideo Goes On A Wild Adventure! | Ranveer Vs Wild With Bear Grylls | Netflix India,584710,9440,699,0,1,sad,0.15764999999999993
g9U5gCIZUmc,Unfiltered With Jitendra Kumar Ft. @UNFILTEREDbySamdish  | Jaadugar | Netflix India,2384126,58246,1626,0,1,happy,0.08776397213897214
XwCJxackVpI,"Pick Up Lines Battle - Magic Edition | Jitendra Kumar, Arushi Sharma | Jaadugar",1067485,19318,247,0,1,happy,0.22188754208754205
rExZeNAxJu4,"Masaba Masaba: Season 2 | Official Trailer | Masaba Gupta, Neena Gupta, Kusha Kapila, Barkha Singh",16422006,15255,309,0,1,neutral,0.19713153548925036
DfE2NtGK3mQ,"Our Favourites Are Back With Season Twos | Mismatched, Delhi Crime, Jamtara & More | Netflix India",6290690,3763,219,0,1,neutral,0.059319444444444445
aZrgi-02Y9c,Ranveer's Description of Deepika is 🥺 | Ranveer vs Wild With Bear Grylls | Netflix India #shorts,689795,31230,136,0,1,happy,0.14147586433876755
U-3QHCuKW4U,A Wild Food Journey With Bear Grylls Ft. Kishen Das | Menu Please | Ranveer Vs Wild With Bear Grylls,259891,6245,78,0,1,happy,0.07319978632478633
hewaloVB6JQ,Major Sandeep Executes An Underwater Attack | Major | Netflix India,1605670,20140,345,0,0,Unknown,0.11352196969696969
D346arxIYBk,Dhanush Fights Ryan Gosling and Ana De Armas | The Gray Man | Netflix India,6589109,187916,5105,0,1,neutral,0.1293005844823514
TJrHoWytRDQ,@KaranSinghMagic Blows Jeetu Bhaiya’s Mind | Jaadugar | Netflix India,129517,5816,157,0,0,fear,0.09358533791523482
EGG-2VJQe6Q,Jaadugari (Acapella Version) ft @YashrajMukhateOfficial  | Nilotpal Bora | Jaadugar | Netflix India,212859,12034,285,0,1,neutral,0.23149673633658008
9NXD048klnc,Major Sandeep And Squad Plan A Counter Attack | Major | Netflix India,1494391,17341,329,0,1,angry,0.13568568594104302
fcSqg11QKEY,Dishing Delicious Secrets With Andrea Kevichüsa | Anek | Menu Please | Netflix India,579261,25584,775,0,1,happy,0.2934341883116884
L5jpfFrOilc,What Went Behind Max’s Running Up That Hill Scene? | Stranger Things | Sadie Sink | Netflix India,122522,4103,113,0,1,happy,0.2165235328907204
hNL91YjEhSo,Kartik Aaryan Finds All The Gold | Bhool Bhulaiyaa 2 Movie Scene | Netflix India,4442747,54607,879,0,1,disgust,0.1881678300865801
_Nx5qg9Yejw,Indian Predator: The Butcher of Delhi | Official Trailer | Netflix India,4427070,69164,1309,0,0,Unknown,0.016056024531024532
zpNYWsdPhq8,Stranger Things & the Strangest Theories | Decode with @dhruvrathee | Netflix India,863925,44741,1449,0,1,fear,0.04038333333333334
2V69tiQ2Dc4,"Jaadugari Music Video | Jitendra Kumar, Arushi Sharma | Nilotpal Bora | Jaadugar | Netflix India",2314621,45339,1630,0,1,happy,0.16746720779220783
joH3je2HrxA,Ranveer Vs Wild With Bear Grylls | Official Trailer | Netflix India,30010936,131478,3415,0,0,Unknown,0.06112554112554113
uxZSgCSO9fY,Money Heist: Korea - Joint Economic Area | Now Streaming | Netflix India,172414,6021,546,0,0,Unknown,0.11623200363005053
l5OAxkuq850,Stranger Things 4 | Volume 2 Hindi Trailer | Netflix India,1498504,62065,1838,0,1,neutral,0.13707727272727271
r5oDqWJRoFo,Stranger Things 4 | Volume 2 Trailer | Netflix India,469077,22491,902,0,1,neutral,0.06123148148148149
i7yFiUio0u0,"Jaadugar | Official Trailer | Jitendra Kumar, Jaaved Jaaferi, Arushi Sharma | Netflix India",23616362,336387,7796,0,1,angry,0.08087063492063491
g6S9uomLG1k,"Cast Reacts To Badass Moments in She Season 2 | Aaditi Pohankar, Vishwas Kini, Kishore Kumar",246888,3590,196,0,1,happy,0.19288864399489394
ZRnUVILQ82A,Kartik Aaryan and Kiara Advani Did What?! | Ft. @AakashGupta | Bhool Bhulaiyaa 2,581011,22268,243,0,1,happy,0.07881125992063492
aNcBgWvwpCk,Vijay Varma Confronts Aaditi Pohankar | She Season 2 | Netflix India,672563,4312,149,0,1,neutral,0.23442648809523814
0W3aiSZ6Aq4,The Ultimate Undercover Mission ft. @Round2hell | She Season 2 | Aaditi Pohankar | Netflix India,38271431,1284671,20594,0,1,sad,0.07961363636363634
r2Q9sLD-z1E,"She Season 2 | One Day To Go | Aaditi Pohankar, Kishore Kumar, Vishwas Kini | Netflix India",218257,2797,105,0,1,neutral,0.08468013468013469
MSGY4vOoyO4,All The Peters Assemble! | Spiderman: No Way Home | Netflix India,294870,14299,388,0,0,Unknown,0.17617271659818048
vj5wFI_VhUY,Bhumi Character Promo | She Season 2 | Aaditi Pohankar | Netflix India,2631265,5037,126,0,1,sad,0.19634128547036928
DnS76XzOTEs,Sivakarthikeyan Conducts Exams For Teachers | Don | Netflix India,5162123,66767,413,0,1,neutral,0.08476388888888887
xuPw_myGt6w,A Stranger Things Dungeons & Dragons Adventure: The Hellfire Club | Geeked Week | Netflix India,182733,6069,235,0,1,happy,0.11007696269982452
HFr4GOsj_kw,"She S2 Official Trailer | Aaditi Pohankar, Kishore, Vishwas Kini | Netflix India",8516778,74809,690,0,1,sad,0.1202224386724387
hsjdKsksPJE,Umbrella Academy: Season 3 - Specialty Hotel | Netflix India,477014,9819,194,0,1,neutral,0.11517792664574253
uoUlX9HSoYU,Bhumi Shares Her Number With A Stranger | She Season 2 | Netflix India,3374311,29434,375,0,1,happy,0.12091111111111111
en4dS92zClM,Irrfan and Parvathy’s First Date | Qarib Qarib Singlle | Netflix India,1306591,11495,424,0,1,neutral,0.17157073412698412
4J4WrrnHT5U,@TheHarshBeniwal & @Mythpat: The Ultimate RRR Stunt | S.S. Rajamouli | Netflix India,3941112,206963,3176,0,1,happy,0.035208333333333314
fNEtMv79QCY,"She Season 2 Teaser | Aaditi Pohankar, Vishwas Kini, Kishore & more | Netflix India",1558846,13905,345,0,1,angry,0.06805741837527551
P9zouOSirLQ,"She Season 1 Recap | Aaditi Pohankar, Vijay Verma, Kishore, Vishwas Kini | Netflix India",272661,2299,36,0,1,fear,0.118578431372549
j_S_NBhQNTs,Jr. NTR's Entry Scene | RRR (Hindi) | Netflix India,20348854,127576,2516,0,0,Unknown,0.13915511904761904
OKiIE3Ou3KI,Stranger Things Cast Reacts To Insane Fan Theories | Netflix India,2943202,91182,1719,0,1,happy,0.07227852182539685
Fnsb3VuBms8,THE GRAY MAN | Official Telugu Trailer | Netflix India,198483,6322,106,0,0,Unknown,0.10741807475678446
